Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Perumahan Pandan Valley,Rp 1.060.000.000,Cicilan 10.2 Juta/bulan,"Kemang, Kabupaten bogor",LT 165 m²LB 50 m²KM 1KT 3
Perumahan Dukuh Zamrud,Rp 1.060.000.000,Cicilan 10.2 Juta/bulan,"Mustikajaya, Kota bekasi",LT 80 m²LB 85 m²KM 3KT 3
Jalan Grogol Sebrang Depok,Rp 1.060.000.000,Cicilan 10.2 Juta/bulan,"Limo, Kota depok",LT 60 m²LB 84 m²KM 2KT 3
Serpong Jaya Cluster The Spring,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 72 m²LB 55 m²KM 2KT 2
Perumahan Karawaci Residence,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 90 m²LB 65 m²KM 1KT 2
Perumahan Graha Mampang Mas,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Pancoran mas, Kota depok",LT 72 m²LB 67 m²KM 2KT 3
Taman Depok Permai,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Cilodong, Kota depok",LT 77 m²LB 120 m²KM 2KT 2
Taman Kenari Nusantara Cluster Ranah Melayu,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 105 m²LB 122 m²KM 2KT 2
Cluster Kemang Pulo Residence,Rp 1.070.000.000,Cicilan 10.3 Juta/bulan,"Pondokgede, Kota bekasi",LT 76 m²LB 66 m²KM 2KT 3
Serpong City Paradise Cluster Rasamala,Rp 1.080.000.000,Cicilan 10.4 Juta/bulan,"Setu, Kota tangerang selatan",LT 75 m²LB 99 m²KM 2KT 2
The Naya Park,Rp 1.080.000.000,Cicilan 10.4 Juta/bulan,"Tapos, Kota depok",LT 76 m²LB 65 m²KM 2KT 3
Serpong Garden 2 Cluster Green Hill,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 84 m²LB 54 m²KM 2KT 2
Perumahan Bumi Anggrek Bekasi,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 75 m²LB 100 m²KM 2KT 4
Perumahan Dukuh Zamrud,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Mustikajaya, Kota bekasi",LT 90 m²LB 65 m²KM 2KT 2
De Bale Permata Arcadia Cluster Diamond,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Tapos, Kota depok",LT 108 m²LB 48 m²KM 1KT 2
Kota Harapan Indah,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Medansatria, Kota bekasi",LT 70 m²LB 80 m²KM 2KT 3
ViIla Bogor Indah 6,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 84 m²LB 55 m²KM 1KT 2
The Green Hill Cluster Bay Hill,Rp 1.090.000.000,Cicilan 10.5 Juta/bulan,"Cibinong, Kabupaten bogor",LT 84 m²LB 84 m²KM 2KT 3
Grand Depok City Anggrek 2,Rp 1.100.000.000,Cicilan 10.6 Juta/bulan,"Sukmajaya, Kota depok",LT 98 m²LB 70 m²KM 2KT 2
Perumahan Grand Depok City Cluster Acacia,Rp 1.100.000.000,Cicilan 10.6 Juta/bulan,"Sukmajaya, Kota depok",LT 90 m²LB 38 m²KM 1KT 2
Komplek Pepabri Kunciran,Rp 1.100.000.000,Cicilan 10.6 Juta/bulan,"Pinang, Kota tangerang",LT 76 m²LB 50 m²KM 1KT 2
Villa Mutiara Gading 2 Cluster Alamanda,Rp 1.110.000.000,Cicilan 10.7 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 60 m²LB 115 m²KM 2KT 3
Denaya Margahayu Residence,Rp 1.110.000.000,Cicilan 10.7 Juta/bulan,"Mustikajaya, Kota bekasi",LT 102 m²LB 55 m²KM 2KT 3
Bukit Golf Riverside Cluster Orchid,Rp 1.120.000.000,Cicilan 10.8 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 105 m²LB 60 m²KM 1KT 2
Bogor Nirwana Residence Cluster Harmony,Rp 1.120.000.000,Cicilan 10.8 Juta/bulan,"Tamansari, Kabupaten bogor",LT 135 m²LB 65 m²KM 3KT 2
Griya Indah Lestari,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Tapos, Kota depok",LT 135 m²LB 90 m²KM 2KT 3
Bumi Cimanggis Indah,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Tapos, Kota depok",LT 123 m²LB 45 m²KM 1KT 2
Cibubur City,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 72 m²LB 150 m²KM 3KT 3
Parkville Serpong Cluster Canola,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 60 m²LB 75 m²KM 2KT 3
Perumahan Bukit Mutiara Indah,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 74 m²LB 74 m²KM 2KT 3
Jalan Swadaya II,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Pancoran mas, Kota depok",LT 72 m²LB 90 m²KM 2KT 3
Trevista Serua,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Bojongsari, Kota depok",LT 91 m²LB 75 m²KM 1KT 2
Perumahan Green Pitara,Rp 1.150.000.000,Cicilan 11.1 Juta/bulan,"Cipayung, Kota depok",LT 72 m²LB 72 m²KM 3KT 3
Perumahan Taman Asri,Rp 1.160.000.000,Cicilan 11.2 Juta/bulan,"Jatisampurna, Kota bekasi",LT 111 m²LB 150 m²KM 2KT 3
Cibubur Residence,Rp 1.170.000.000,Cicilan 11.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 90 m²LB 54 m²KM 2KT 2
Komplek Kopassus Pelita 1 Sukatani,Rp 1.170.000.000,Cicilan 11.3 Juta/bulan,"Tapos, Kota depok",LT 118 m²LB 110 m²KM 1KT 3
Perumahan Pesona Laguna 2,Rp 1.180.000.000,Cicilan 11.4 Juta/bulan,"Tapos, Kota depok",LT 90 m²LB 180 m²KM 3KT 5
Serpong Natura City Cluster Cattleya,Rp 1.180.000.000,Cicilan 11.4 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 81 m²LB 55 m²KM 2KT 3
Perumahan Permata Depok,Rp 1.180.000.000,Cicilan 11.4 Juta/bulan,"Cipayung, Kota depok",LT 72 m²LB 155 m²KM 2KT 3
Perumahan Studio Alam View,Rp 1.180.000.000,Cicilan 11.4 Juta/bulan,"Sukmajaya, Kota depok",LT 80 m²LB 80 m²KM 2KT 3
Cinangka Garden Hill,Rp 1.190.000.000,Cicilan 11.5 Juta/bulan,"Sawangan, Kota depok",LT 90 m²LB 160 m²KM 2KT 3
Perumahan Tamansari Puribali Depok,Rp 1.190.000.000,Cicilan 11.5 Juta/bulan,"Bojongsari, Kota depok",LT 152 m²LB 60 m²KM 1KT 2
Serpong Natura City Cluster Cattleya,Rp 1.190.000.000,Cicilan 11.5 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 112 m²LB 39 m²KM 1KT 2
Perum Hankam,Rp 1.210.000.000,Cicilan 11.7 Juta/bulan,"Cibinong, Kabupaten bogor",LT 90 m²LB 180 m²KM 4KT 3
Gardenia Townhouse Serpong,Rp 1.210.000.000,Cicilan 11.7 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 107 m²LB 115 m²KM 2KT 3
Erfina Kencana Regency Cluster Bowling,Rp 1.210.000.000,Cicilan 11.7 Juta/bulan,"Cibinong, Kabupaten bogor",LT 105 m²LB 105 m²KM 1KT 2
Perumahan The Rasheesa,Rp 1.210.000.000,Cicilan 11.7 Juta/bulan,"Beji, Kota depok",LT 91 m²LB 58 m²KM 1KT 2
"Cluster the Summit, Rancamaya Golf Estate",Rp 1.210.000.000,Cicilan 11.7 Juta/bulan,"Bogor selatan, Kota bogor",LT 105 m²LB 52 m²KM 1KT 2
Permata Cimanggis,Rp 1.230.000.000,Cicilan 11.8 Juta/bulan,"Tapos, Kota depok",LT 90 m²LB 45 m²KM 1KT 2
Taman Anggrek Residence,Rp 1.230.000.000,Cicilan 11.8 Juta/bulan,"Cimanggis, Kota depok",LT 96 m²LB 60 m²KM 1KT 2
Victoria Park Bogor,Rp 1.250.000.000,Cicilan 12 Juta/bulan,"Bogor barat, Kota bogor",LT 111 m²LB 110 m²KM 3KT 2
Sawangan Residence Ideal,Rp 1.260.000.000,Cicilan 12.1 Juta/bulan,"Bojongsari, Kota depok",LT 99 m²LB 70 m²KM 1KT 2
Villa Permata Karawaci,Rp 1.270.000.000,Cicilan 12.2 Juta/bulan,"Curug, Kabupaten tangerang",LT 120 m²LB 80 m²KM 2KT 2
The Icon Residence,Rp 1.270.000.000,Cicilan 12.2 Juta/bulan,"Jatisampurna, Kota bekasi",LT 80 m²LB 80 m²KM 2KT 3
Perumahan Greenland Forest Park Residence Cluster Regia,Rp 1.280.000.000,Cicilan 12.3 Juta/bulan,"Bojongsari, Kota depok",LT 109 m²LB 185 m²KM 3KT 4
Serpong Lagoon CLuster Aquatic ,Rp 1.280.000.000,Cicilan 12.3 Juta/bulan,"Setu, Kota tangerang selatan",LT 119 m²LB 62 m²KM 2KT 2
Perumahan Villa Pertiwi,Rp 1.280.000.000,Cicilan 12.3 Juta/bulan,"Cilodong, Kota depok",LT 144 m²LB 90 m²KM 2KT 2
Vinifera Residence Bekasi,Rp 1.290.000.000,Cicilan 12.4 Juta/bulan,"Jatiasih, Kota bekasi",LT 127 m²LB 110 m²KM 3KT 3
Serpong Garden Cluster Green Valley,Rp 1.290.000.000,Cicilan 12.4 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 100 m²LB 45 m²KM 1KT 2
Griya Loka BSD,Rp 1.300.000.000,Cicilan 12.5 Juta/bulan,"Serpong, Kota tangerang selatan",LT 90 m²LB 80 m²KM 1KT 2
Grand Cibubur Country Cluster Oakwood,Rp 1.300.000.000,Cicilan 12.5 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 134 m²LB 44 m²KM 1KT 2
Sawangan Village Cluster Bukit Petro,Rp 1.310.000.000,Cicilan 12.6 Juta/bulan,"Sawangan, Kota depok",LT 150 m²LB 75 m²KM 2KT 3
Pamulang Estate,Rp 1.320.000.000,Cicilan 12.7 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 120 m²LB 77 m²KM 2KT 2
Perumahan Taman Serua,Rp 1.320.000.000,Cicilan 12.7 Juta/bulan,"Bojongsari, Kota depok",LT 131 m²LB 55 m²KM 2KT 2
Bukit Griya Cinere,Rp 1.330.000.000,Cicilan 12.8 Juta/bulan,"Limo, Kota depok",LT 72 m²LB 140 m²KM 3KT 3
Royal Residence,Rp 1.330.000.000,Cicilan 12.8 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 100 m²LB 90 m²KM 4KT 4
Prima Harapan Regency,Rp 1.340.000.000,Cicilan 12.9 Juta/bulan,"Bekasi utara, Kota bekasi",LT 120 m²LB 64 m²KM 2KT 2
Erfina Kencana Regency,Rp 1.370.000.000,Cicilan 13.2 Juta/bulan,"Cibinong, Kabupaten bogor",LT 217 m²LB 48 m²KM 1KT 2
Arya Townhouse,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Jatisampurna, Kota bekasi",LT 114 m²LB 71 m²KM 2KT 2
Metland Transyogi Cibubur Cluster Eboni,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 105 m²LB 69 m²KM 2KT 3
Permata Cimanggis Cluster Alexandrite,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Tapos, Kota depok",LT 90 m²LB 120 m²KM 2KT 3
Perumahan OCBD Bogor,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Bogor utara, Kota bogor",LT 85 m²LB 57 m²KM 2KT 2
Perumahan Taman Anyelir,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Cilodong, Kota depok",LT 126 m²LB 115 m²KM 2KT 2
Kota Harapan Indah,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Medansatria, Kota bekasi",LT 94 m²LB 162 m²KM 3KT 4
Serpong Garden 2 Cluster Green Cove,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 113 m²LB 85 m²KM 1KT 2
Perumahan Jimbaran Premiere,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Sawangan, Kota depok",LT 103 m²LB 100 m²KM 2KT 2
Bogor Raya Permai,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Bogor barat, Kota bogor",LT 126 m²LB 180 m²KM 3KT 4
Legenda Wisata Zona Vivaldi,Rp 1.440.000.000,Cicilan 13.9 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 96 m²LB 45 m²KM 1KT 3
Perumahan Studio Alam View,Rp 1.440.000.000,Cicilan 13.9 Juta/bulan,"Sukmajaya, Kota depok",LT 102 m²LB 140 m²KM 3KT 3
Bukit Golf Riverside Cluster Orchid,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 120 m²LB 60 m²KM 2KT 2
Residence One,Rp 1.470.000.000,Cicilan 14.2 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 92 m²LB 60 m²KM 3KT 5
Komplek Griya Tiga Putra,Rp 1.470.000.000,Cicilan 14.2 Juta/bulan,"Limo, Kota depok",LT 72 m²LB 96 m²KM 2KT 2
Perumahan Paradiso Residence,Rp 1.500.000.000,Cicilan 14.5 Juta/bulan,"Pondokgede, Kota bekasi",LT 134 m²LB 54 m²KM 2KT 3
Villa Bogor Indah 6,Rp 1.500.000.000,Cicilan 14.5 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 84 m²LB 72 m²KM 2KT 3
Perumahan Cibubur Villa 1,Rp 1.510.000.000,Cicilan 14.6 Juta/bulan,"Jatisampurna, Kota bekasi",LT 127 m²LB 125 m²KM 3KT 3
Grand Depok City Cluster Acacia,Rp 1.530.000.000,Cicilan 14.7 Juta/bulan,"Sukmajaya, Kota depok",LT 90 m²LB 70 m²KM 3KT 3
Legenda Wisata Zona Oscar,Rp 1.530.000.000,Cicilan 14.7 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 105 m²LB 85 m²KM 2KT 3
Familia Urban Cluster Dharmawangsa Mustikajaya,Rp 1.530.000.000,Cicilan 14.7 Juta/bulan,"Mustikajaya, Kota bekasi",LT 90 m²LB 60 m²KM 2KT 3
Legenda Wisata Zona Einstein,Rp 1.550.000.000,Cicilan 14.9 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 136 m²LB 90 m²KM 2KT 3
Perumahan Dasana Indah Blok RC1,Rp 1.550.000.000,Cicilan 14.9 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 96 m²LB 110 m²KM 2KT 4
Golden Park 2 Cluster Jasmine,Rp 1.560.000.000,Cicilan 15 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 90 m²LB 68 m²KM 3KT 3
Graha Raya Komplek Graha Bunga,Rp 1.570.000.000,Cicilan 15.1 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 72 m²LB 84 m²KM 2KT 3
Bhumi Amala Residence,Rp 1.570.000.000,Cicilan 15.1 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 90 m²LB 72 m²KM 2KT 3
Bogor Raya Permai,Rp 1.570.000.000,Cicilan 15.1 Juta/bulan,"Bogor barat, Kota bogor",LT 144 m²LB 128 m²KM 3KT 3
The Cozy Green Cibubur,Rp 1.580.000.000,Cicilan 15.2 Juta/bulan,"Cimanggis, Kota depok",LT 101 m²LB 121 m²KM 3KT 3
Victoria Hills Residence,Rp 1.590.000.000,Cicilan 15.3 Juta/bulan,"Pancoran mas, Kota depok",LT 84 m²LB 88 m²KM 3KT 3
New Royal Residence,Rp 1.590.000.000,Cicilan 15.3 Juta/bulan,"Bojongsari, Kota depok",LT 90 m²LB 63 m²KM 2KT 3
Kota Wisata Cluster Pesona Calgary,Rp 1.590.000.000,Cicilan 15.3 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 105 m²LB 90 m²KM 1KT 2
Jalan KH. Muhasan 1,Rp 1.600.000.000,Cicilan 15.4 Juta/bulan,"Limo, Kota depok",LT 123 m²LB 110 m²KM 3KT 3
Graha Raya Cluster Fortune Terrace,Rp 1.600.000.000,Cicilan 15.4 Juta/bulan,"Ciledug, Kota tangerang",LT 76 m²LB 67 m²KM 2KT 3
Graha Raya Cluster Fortune Terrace,Rp 1.620.000.000,Cicilan 15.6 Juta/bulan,"Ciledug, Kota tangerang",LT 72 m²LB 67 m²KM 2KT 3
El Fatih Land Pancoran Mas,Rp 1.630.000.000,Cicilan 15.7 Juta/bulan,"Pancoran mas, Kota depok",LT 83 m²LB 154 m²KM 3KT 3
El Fatih Land Pancoran mas,Rp 1.650.000.000,Cicilan 15.9 Juta/bulan,"Pancoran mas, Kota depok",LT 85 m²LB 156 m²KM 3KT 3
Natavasa Townhouse,Rp 1.650.000.000,Cicilan 15.9 Juta/bulan,"Sukmajaya, Kota depok",LT 65 m²LB 100 m²KM 3KT 3
Puri Primacom Residence Sawangan,Rp 1.650.000.000,Cicilan 15.9 Juta/bulan,"Sawangan, Kota depok",LT 95 m²LB 89 m²KM 3KT 4
Pahlawan Residence Sawangan,Rp 1.660.000.000,Cicilan 16 Juta/bulan,"Sawangan, Kota depok",LT 109 m²LB 90 m²KM 2KT 3
Perumahan Mutiara Residence,Rp 1.670.000.000,Cicilan 16.1 Juta/bulan,"Jatiasih, Kota bekasi",LT 84 m²LB 104 m²KM 2KT 4
The Millenials Residence,Rp 1.700.000.000,Cicilan 16.4 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 154 m²LB 120 m²KM 3KT 2
Perumahan Telaga Golf Sawangan,Rp 1.720.000.000,Cicilan 16.6 Juta/bulan,"Sawangan, Kota depok",LT 128 m²LB 81 m²KM 2KT 3
Cluster Calantha Cinere,Rp 1.720.000.000,Cicilan 16.6 Juta/bulan,"Limo, Kota depok",LT 97 m²LB 80 m²KM 2KT 3
Perumahan Samudera Residence,Rp 1.740.000.000,Cicilan 16.8 Juta/bulan,"Sukmajaya, Kota depok",LT 189 m²LB 55 m²KM 1KT 2
Bananas Residence 2,Rp 1.750.000.000,Cicilan 16.9 Juta/bulan,"Jatiasih, Kota bekasi",LT 109 m²LB 175 m²KM 4KT 4
Komplek Sketsa,Rp 1.780.000.000,Cicilan 17.2 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 73 m²LB 130 m²KM 3KT 3
Perumahan Tamansari Puribali Cluster Taman Ayun Depok,Rp 1.780.000.000,Cicilan 17.2 Juta/bulan,"Bojongsari, Kota depok",LT 159 m²LB 110 m²KM 2KT 3
Taman Ventura Indah,Rp 1.780.000.000,Cicilan 17.2 Juta/bulan,"Beji, Kota depok",LT 73 m²LB 164 m²KM 2KT 4
Legenda Wisata Zona Einstein,Rp 1.780.000.000,Cicilan 17.2 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 136 m²LB 100 m²KM 2KT 3
Green Village Tangerang ,Rp 1.800.000.000,Cicilan 17.4 Juta/bulan,"Pinang, Kota tangerang",LT 48 m²LB 72 m²KM 2KT 2
Perumahan Newland Matoa,Rp 1.820.000.000,Cicilan 17.6 Juta/bulan,"Limo, Kota depok",LT 105 m²LB 48 m²KM 1KT 2
Prima Harapan Regency,Rp 1.840.000.000,Cicilan 17.7 Juta/bulan,"Bekasi utara, Kota bekasi",LT 90 m²LB 87 m²KM 2KT 3
Emerald Land Cibinong,Rp 1.910.000.000,Cicilan 18.4 Juta/bulan,"Cibinong, Kabupaten bogor",LT 100 m²LB 85 m²KM 3KT 3
Alam Aselih Residence,Rp 1.910.000.000,Cicilan 18.4 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 93 m²LB 123 m²KM 3KT 3
Wartawangsa Residence,Rp 1.940.000.000,Cicilan 18.7 Juta/bulan,"Cibinong, Kabupaten bogor",LT 125 m²LB 180 m²KM 2KT 3
Komplek Budi Agung,Rp 1.950.000.000,Cicilan 18.8 Juta/bulan,"Tanah sareal, Kota bogor",LT 120 m²LB 155 m²KM 3KT 6
Perumahan Newland Matoa,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Limo, Kota depok",LT 105 m²LB 89 m²KM 2KT 3
Shila at Sawangan Cluster The Grove,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Bojongsari, Kota depok",LT 112 m²LB 109 m²KM 2KT 3
Taman Kenari Nusantara,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 143 m²LB 250 m²KM 5KT 5
Madakara Residence Jakarta,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Cipayung, Kota jakarta timur",LT 103 m²LB 130 m²KM 3KT 3
The Mampang Icon,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Pancoran mas, Kota depok",LT 86 m²LB 158 m²KM 4KT 5
Komplek Pondok Cibubur,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Cimanggis, Kota depok",LT 150 m²LB 200 m²KM 3KT 5
Jalan Ahmad Dahlan Depok,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Beji, Kota depok",LT 88 m²LB 130 m²KM 3KT 3
Jalan KH Ahmad Dahlan Beji,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Beji, Kota depok",LT 88 m²LB 130 m²KM 3KT 3
Bali Resort Serpong,Rp 2.030.000.000,Cicilan 19.6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 110 m²LB 82 m²KM 3KT 3
Perumahan Batu Putih Cibubur,Rp 2.040.000.000,Cicilan 19.7 Juta/bulan,"Cimanggis, Kota depok",LT 130 m²LB 121 m²KM 2KT 3
Taman Holandia Jalan Den Haag,Rp 2.040.000.000,Cicilan 19.7 Juta/bulan,"Cibodas, Kota tangerang",LT 120 m²LB 130 m²KM 3KT 3
Griya Bukit Jaya,Rp 2.100.000.000,Cicilan 20.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 135 m²LB 270 m²KM 4KT 3
Vanya Park,Rp 2.120.000.000,Cicilan 20.5 Juta/bulan,"Pagedangan, Kabupaten tangerang",LT 77 m²LB 70 m²KM 2KT 3
Limo Residence Blok C,Rp 2.150.000.000,Cicilan 20.7 Juta/bulan,"Limo, Kota depok",LT 113 m²LB 150 m²KM 2KT 2
Perumahan Karang Tengah Permai ,Rp 2.160.000.000,Cicilan 20.8 Juta/bulan,"Karang tengah, Kota tangerang",LT 169 m²LB 120 m²KM 2KT 3
Perumahan Permata Puri Laguna,Rp 2.160.000.000,Cicilan 20.8 Juta/bulan,"Cimanggis, Kota depok",LT 120 m²LB 200 m²KM 3KT 4
Perumahan Poris Indah,Rp 2.160.000.000,Cicilan 20.8 Juta/bulan,"Cipondoh, Kota tangerang",LT 77 m²LB 135 m²KM 2KT 4
Perumahan Alam Persada Cemara,Rp 2.160.000.000,Cicilan 20.8 Juta/bulan,"Limo, Kota depok",LT 189 m²LB 120 m²KM 2KT 3
Green Village Tangerang,Rp 2.180.000.000,Cicilan 21 Juta/bulan,"Pinang, Kota tangerang",LT 63 m²LB 86 m²KM 1KT 3
Paradise Serpong City Cluster Vista 2,Rp 2.180.000.000,Cicilan 21 Juta/bulan,"Setu, Kota tangerang selatan",LT 112 m²LB 69 m²KM 2KT 3
Perumahan Newland Matoa,Rp 2.190.000.000,Cicilan 21.1 Juta/bulan,"Limo, Kota depok",LT 118 m²LB 69 m²KM 2KT 2
Chelsea Modern Home,Rp 2.220.000.000,Cicilan 21.4 Juta/bulan,"Pasar rebo, Kota jakarta timur",LT 90 m²LB 92 m²KM 3KT 3
Diamond Golden Cinere,Rp 2.220.000.000,Cicilan 21.4 Juta/bulan,"Limo, Kota depok",LT 69 m²LB 58 m²KM 1KT 2
Diamond Golden Cinere,Rp 2.280.000.000,Cicilan 22 Juta/bulan,"Limo, Kota depok",LT 73 m²LB 57 m²KM 1KT 2
Perumahan Grand Kartika,Rp 2.280.000.000,Cicilan 22 Juta/bulan,"Ciracas, Kota jakarta timur",LT 98 m²LB 140 m²KM 2KT 4
Cluster Nusa Loka,Rp 2.400.000.000,Cicilan 23.2 Juta/bulan,"Serpong, Kota tangerang selatan",LT 135 m²LB 90 m²KM 3KT 3
Nusaloka,Rp 2.400.000.000,Cicilan 23.2 Juta/bulan,"Serpong, Kota tangerang selatan",LT 120 m²LB 145 m²KM 4KT 5
Villa Inti Persada,Rp 2.420.000.000,Cicilan 23.4 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 264 m²LB 180 m²KM 2KT 3
Griya Cinere,Rp 2.530.000.000,Cicilan 24.4 Juta/bulan,"Limo, Kota depok",LT 120 m²LB 150 m²KM 2KT 3
Jalan Aselih Jagakarsa,Rp 2.530.000.000,Cicilan 24.4 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 112 m²LB 120 m²KM 2KT 3
Kota Wisata Cluster Mississippi,Rp 2.530.000.000,Cicilan 24.4 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 91 m²LB 121 m²KM 4KT 4
Grand Wisata Cluster Sunrise Paradise,Rp 2.660.000.000,Cicilan 25.7 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 147 m²LB 203 m²KM 3KT 3
Cempaka Town House,Rp 2.790.000.000,Cicilan 26.9 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 162 m²LB 130 m²KM 3KT 3
Kavling DKI Jalan Purwa ,Rp 2.870.000.000,Cicilan 27.7 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 144 m²LB 185 m²KM 3KT 4
Perumahan Permata Puri Depok,Rp 2.970.000.000,Cicilan 28.7 Juta/bulan,"Cimanggis, Kota depok",LT 160 m²LB 270 m²KM 4KT 4
Bukit Golf Riverside,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 261 m²LB 150 m²KM 2KT 3
Pomentia Residence,Rp 3.040.000.000,Cicilan 29.4 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 110 m²LB 140 m²KM 4KT 4
Kota Wisata Cibubur Cluster Montreal,Rp 3.160.000.000,Cicilan 30.5 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 105 m²LB 264 m²KM 5KT 7
Perumahan Bunga Geulis,Rp 3.160.000.000,Cicilan 30.5 Juta/bulan,"Pancoran mas, Kota depok",LT 124 m²LB 183 m²KM 3KT 3
"Puri Intan, Pegangsaan Dua, Kelapa Gading",Rp 3.170.000.000,Cicilan 30.6 Juta/bulan,"Kelapa gading, Kota jakarta utara",LT 112 m²LB 106 m²KM 2KT 4
QB Townhouse Bintaro,Rp 3.230.000.000,Cicilan 31.2 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 185 m²LB 181 m²KM 4KT 4
Komplek DPR Bintaro Sektor 2,Rp 3.250.000.000,Cicilan 31.4 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 180 m²LB 250 m²KM 2KT 5
Kota Wisata Cluster Kyoto,Rp 3.290.000.000,Cicilan 31.8 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 180 m²LB 250 m²KM 4KT 4
Kota Wisata Cluster San Fransisco,Rp 3.290.000.000,Cicilan 31.8 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 200 m²LB 250 m²KM 3KT 5
